date,time,hour,day_of_week,day_name,vehicle_count,congestion_level,congestion_duration_minutes,is_weekend,weather,temperature,visibility
2025-09-03,17:00,17,2,Wednesday,81,High,76,0,Heavy Rain,22.613091347123397,9.736242886919293
2025-09-03,18:00,18,2,Wednesday,71,High,81,0,Fog,29.288298116010097,10.0
2025-09-03,19:00,19,2,Wednesday,54,High,44,0,Fog,23.55670680539931,10.0
2025-09-03,20:00,20,2,Wednesday,36,Medium,29,0,Light Rain,24.456199257715713,10.0
2025-09-03,21:00,21,2,Wednesday,27,Medium,21,0,Clear,25.062962003908975,5.368982823676994
2025-09-03,22:00,22,2,Wednesday,17,Low,10,0,Heavy Rain,22.84028899195814,10.0
2025-09-03,23:00,23,2,Wednesday,19,Low,13,0,Light Rain,29.881545632405512,8.100662989007684
2025-09-04,00:00,0,3,Thursday,0,Low,8,0,Heavy Rain,21.20433669223151,10.0
2025-09-04,01:00,1,3,Thursday,3,Low,11,0,Light Rain,22.115481721687985,10.0
2025-09-04,02:00,2,3,Thursday,0,Low,11,0,Heavy Rain,30.897200603606436,10.0
2025-09-04,03:00,3,3,Thursday,0,Low,5,0,Light Rain,31.189081559867308,10.0
2025-09-04,04:00,4,3,Thursday,0,Low,8,0,Heavy Rain,22.74967264260378,10.0
2025-09-04,05:00,5,3,Thursday,11,Low,6,0,Fog,27.572194170293745,10.0
2025-09-04,06:00,6,3,Thursday,28,Medium,12,0,Heavy Rain,26.661570059897958,7.601538504518967
2025-09-04,07:00,7,3,Thursday,61,High,61,0,Light Rain,30.76622593214228,7.804689857676932
2025-09-04,08:00,8,3,Thursday,83,High,79,0,Clear,20.17538269709948,10.0
2025-09-04,09:00,9,3,Thursday,48,Medium,10,0,Light Rain,14.803839111199498,10.0
2025-09-04,10:00,10,3,Thursday,33,Medium,37,0,Clear,33.14307772785646,9.311818543733725
2025-09-04,11:00,11,3,Thursday,33,Medium,31,0,Clear,16.676534019024963,10.0
2025-09-04,12:00,12,3,Thursday,54,High,27,0,Clear,24.385443467242723,10.0
2025-09-04,13:00,13,3,Thursday,59,High,53,0,Clear,23.546538459844783,10.0
2025-09-04,14:00,14,3,Thursday,55,High,39,0,Fog,20.92250463355756,10.0
2025-09-04,15:00,15,3,Thursday,47,Medium,23,0,Light Rain,13.58598754979601,10.0
2025-09-04,16:00,16,3,Thursday,69,High,59,0,Heavy Rain,29.25677132300255,10.0
2025-09-04,17:00,17,3,Thursday,76,High,49,0,Heavy Rain,18.85972990438188,10.0
2025-09-04,18:00,18,3,Thursday,86,High,24,0,Light Rain,29.257010461894144,9.476034188435996
2025-09-04,19:00,19,3,Thursday,50,High,43,0,Heavy Rain,20.22229779699787,10.0
2025-09-04,20:00,20,3,Thursday,26,Medium,18,0,Heavy Rain,21.767135578787368,10.0
2025-09-04,21:00,21,3,Thursday,19,Low,15,0,Clear,32.39972069445013,10.0
2025-09-04,22:00,22,3,Thursday,15,Low,7,0,Clear,19.81376922836772,6.418879528993623
2025-09-04,23:00,23,3,Thursday,9,Low,14,0,Fog,29.706422890302377,10.0
2025-09-05,00:00,0,4,Friday,5,Low,10,0,Clear,22.709450485843117,10.0
2025-09-05,01:00,1,4,Friday,0,Low,8,0,Light Rain,22.27415400334078,10.0
2025-09-05,02:00,2,4,Friday,0,Low,12,0,Light Rain,26.186621923798715,10.0
2025-09-05,03:00,3,4,Friday,3,Low,7,0,Fog,26.03751742579568,10.0
2025-09-05,04:00,4,4,Friday,13,Low,14,0,Clear,22.177214983652124,10.0
2025-09-05,05:00,5,4,Friday,2,Low,10,0,Clear,23.466418003390913,8.053100212208163
2025-09-05,06:00,6,4,Friday,28,Medium,24,0,Clear,21.740819460989204,10.0
2025-09-05,07:00,7,4,Friday,65,High,74,0,Light Rain,22.115540652384254,6.273203273818819
2025-09-05,08:00,8,4,Friday,90,High,96,0,Heavy Rain,16.148784058290538,10.0
2025-09-05,09:00,9,4,Friday,39,Medium,25,0,Heavy Rain,32.90067047537601,10.0
2025-09-05,10:00,10,4,Friday,34,Medium,20,0,Light Rain,23.407607446748305,10.0
2025-09-05,11:00,11,4,Friday,38,Medium,33,0,Heavy Rain,26.80389212336714,10.0
2025-09-05,12:00,12,4,Friday,53,High,60,0,Heavy Rain,21.617934897579808,10.0
2025-09-05,13:00,13,4,Friday,48,Medium,18,0,Heavy Rain,25.080267093219653,9.497872866372841
2025-09-05,14:00,14,4,Friday,49,Medium,26,0,Fog,17.607068771100792,10.0
2025-09-05,15:00,15,4,Friday,55,High,52,0,Clear,36.35346428902198,10.0
2025-09-05,16:00,16,4,Friday,70,High,34,0,Clear,29.151679082721227,10.0
2025-09-05,17:00,17,4,Friday,91,High,65,0,Clear,26.66831052643474,6.710408743579537
2025-09-05,18:00,18,4,Friday,96,High,49,0,Heavy Rain,29.81925159357681,10.0
2025-09-05,19:00,19,4,Friday,70,High,25,0,Light Rain,26.404821604590996,6.728479967519597
2025-09-05,20:00,20,4,Friday,33,Medium,30,0,Clear,26.399843131599102,10.0
2025-09-05,21:00,21,4,Friday,19,Low,17,0,Clear,28.62883311949346,10.0
2025-09-05,22:00,22,4,Friday,17,Low,10,0,Light Rain,34.41012248237517,10.0
2025-09-05,23:00,23,4,Friday,16,Low,14,0,Light Rain,24.37106539950176,10.0
2025-09-06,00:00,0,5,Saturday,3,Low,13,1,Clear,24.209960507105052,10.0
2025-09-06,01:00,1,5,Saturday,0,Low,6,1,Heavy Rain,25.36658983594202,10.0
2025-09-06,02:00,2,5,Saturday,0,Low,6,1,Fog,23.702043243181976,10.0
2025-09-06,03:00,3,5,Saturday,0,Low,9,1,Light Rain,24.72852566741094,10.0
2025-09-06,04:00,4,5,Saturday,0,Low,12,1,Fog,23.655556547225846,10.0
2025-09-06,05:00,5,5,Saturday,0,Low,17,1,Heavy Rain,24.879374564449982,6.049527965477929
2025-09-06,06:00,6,5,Saturday,16,Low,10,1,Fog,31.94291134520144,10.0
2025-09-06,07:00,7,5,Saturday,12,Low,5,1,Clear,26.018508990694247,5.909640652476355
2025-09-06,08:00,8,5,Saturday,26,Medium,20,1,Clear,29.678391965737305,5.135479962517417
2025-09-06,09:00,9,5,Saturday,24,Medium,19,1,Light Rain,24.34827427006396,10.0
2025-09-06,10:00,10,5,Saturday,27,Medium,22,1,Light Rain,29.069319540618025,10.0
2025-09-06,11:00,11,5,Saturday,23,Medium,27,1,Clear,19.964553178468694,10.0
2025-09-06,12:00,12,5,Saturday,35,Medium,11,1,Fog,18.792493845254388,10.0
2025-09-06,13:00,13,5,Saturday,37,Medium,10,1,Heavy Rain,17.934878273291112,10.0
2025-09-06,14:00,14,5,Saturday,37,Medium,10,1,Fog,29.859113450863678,10.0
2025-09-06,15:00,15,5,Saturday,34,Medium,35,1,Clear,28.36128642206886,10.0
2025-09-06,16:00,16,5,Saturday,45,Medium,14,1,Fog,16.85203507011836,10.0
2025-09-06,17:00,17,5,Saturday,50,High,51,1,Clear,27.634687063158953,10.0
2025-09-06,18:00,18,5,Saturday,53,High,66,1,Light Rain,24.209492549649006,10.0
2025-09-06,19:00,19,5,Saturday,37,Medium,6,1,Clear,25.99279181448146,10.0
2025-09-06,20:00,20,5,Saturday,17,Low,11,1,Light Rain,31.706559598500675,10.0
2025-09-06,21:00,21,5,Saturday,13,Low,11,1,Light Rain,23.47723180756371,10.0
2025-09-06,22:00,22,5,Saturday,10,Low,10,1,Light Rain,24.973317645816685,10.0
2025-09-06,23:00,23,5,Saturday,3,Low,5,1,Fog,26.212602128062596,10.0
2025-09-07,00:00,0,6,Sunday,4,Low,8,1,Fog,17.21023841161666,10.0
2025-09-07,01:00,1,6,Sunday,0,Low,11,1,Clear,29.64741253672385,7.9511533343454355
2025-09-07,02:00,2,6,Sunday,0,Low,9,1,Heavy Rain,25.888505004666268,10.0
2025-09-07,03:00,3,6,Sunday,0,Low,11,1,Clear,30.403903627773108,8.461382822589263
2025-09-07,04:00,4,6,Sunday,0,Low,11,1,Light Rain,29.092423673192698,10.0
2025-09-07,05:00,5,6,Sunday,6,Low,11,1,Fog,24.59792113145504,9.22274699267535
2025-09-07,06:00,6,6,Sunday,22,Medium,25,1,Heavy Rain,22.82751886283842,10.0
2025-09-07,07:00,7,6,Sunday,24,Medium,27,1,Heavy Rain,20.52696348890248,10.0
2025-09-07,08:00,8,6,Sunday,33,Medium,47,1,Clear,30.159222697343175,9.429888741180935
2025-09-07,09:00,9,6,Sunday,10,Low,5,1,Light Rain,25.235086065618724,10.0
2025-09-07,10:00,10,6,Sunday,30,Medium,20,1,Fog,29.59913755073832,10.0
2025-09-07,11:00,11,6,Sunday,29,Medium,10,1,Light Rain,28.968289709901768,10.0
2025-09-07,12:00,12,6,Sunday,36,Medium,16,1,Clear,15.331608494462198,10.0
2025-09-07,13:00,13,6,Sunday,35,Medium,30,1,Clear,20.872075784912695,10.0
2025-09-07,14:00,14,6,Sunday,43,Medium,34,1,Light Rain,17.150198311713286,10.0
2025-09-07,15:00,15,6,Sunday,35,Medium,20,1,Clear,21.88564751788358,10.0
2025-09-07,16:00,16,6,Sunday,46,Medium,22,1,Heavy Rain,28.97953252423737,10.0
2025-09-07,17:00,17,6,Sunday,53,High,47,1,Light Rain,21.481899685367768,10.0
2025-09-07,18:00,18,6,Sunday,56,High,61,1,Light Rain,23.187324874503187,10.0
2025-09-07,19:00,19,6,Sunday,35,Medium,33,1,Light Rain,25.523676493190653,10.0
2025-09-07,20:00,20,6,Sunday,15,Low,6,1,Clear,20.795456009760727,6.1009160097490565
2025-09-07,21:00,21,6,Sunday,17,Low,8,1,Fog,30.94196636724042,10.0
2025-09-07,22:00,22,6,Sunday,23,Medium,21,1,Heavy Rain,28.40945744813156,10.0
2025-09-07,23:00,23,6,Sunday,16,Low,11,1,Light Rain,30.543517902914537,10.0
